Date,Actual,Predicted
2025-04-19,85177.34,84571.37030000002
2025-04-20,87522.07,85907.23090000004
2025-04-21,93489.1,88152.99730000008
2025-04-22,93740.92,89923.83050000001
2025-04-23,94021.96,93629.3202
2025-04-24,94708.79,94338.31379999999
2025-04-25,94666.64,94019.34330000002
2025-04-26,93780.57,93132.06340000004
2025-04-27,95042.57,94234.9529
2025-04-28,94271.09,93159.13440000001
2025-04-29,94182.54,94094.50930000005
2025-04-30,96524.98,95511.35310000001
2025-05-01,96929.81,97366.42210000003
2025-05-02,95861.33,96299.7009
2025-05-03,94272.55,94525.36580000004
2025-05-04,94733.99,95186.90970000002
2025-05-05,96839.17,96286.58480000004
2025-05-06,97058.32,97528.77369999999
2025-05-07,103253.49,99634.41870000007
2025-05-08,102986.96,100511.59179999994
2025-05-09,104821.19,103439.85789999996
2025-05-10,104137.62,102304.09989999994
2025-05-11,102800.21,102140.23319999996
2025-05-12,104131.06,103693.03269999998
2025-05-13,103545.38,102690.28409999995
2025-05-14,103786.43,103547.52379999997
2025-05-15,103500.03,103310.19839999994
2025-05-16,103161.07,102930.99309999993
2025-05-17,106473.46,103868.51729999996
2025-05-18,105616.18,102823.61549999991
2025-05-19,106883.24,103900.77759999994
2025-05-20,109699.54,103946.24299999996
2025-05-21,111722.53,104057.40699999995
2025-05-22,107329.61,100579.70199999992
2025-05-23,107794.01,103859.87429999991
2025-05-24,109048.68,101161.53619687492
2025-05-25,109464.32,101165.04389687494
2025-05-26,108978.46,100370.24469687493
2025-05-27,107819.29,100064.03529687492
2025-05-28,105572.58,99806.79409687493
2025-05-29,104033.26,99806.79409687493
2025-05-30,104645.87,100942.32159687491
2025-05-31,105697.94,101043.37719687492
2025-06-01,105904.94,100907.25159687495
2025-06-02,105447.82,100269.93989687493
2025-06-03,104753.38,100179.54689687495
2025-06-04,101570.2,97944.94158124995
2025-06-05,104397.99,100700.84314062493
2025-06-06,105619.02,101073.8277968749
2025-06-07,105784.4,100923.35559687493
2025-06-08,110301.15,101349.07534062496
2025-06-09,110300.24,100757.91249687492
2025-06-10,108669.37,99772.86569687491
2025-06-11,105721.05,98116.93609687494
2025-06-12,106118.7,101118.44469687491
2025-06-13,105465.42,100074.92849687493
2025-06-14,105599.25,100945.71209687495
2025-06-15,106853.38,101104.56359687493
2025-06-16,104590.44,99730.18439687492
2025-06-17,104915.6,101158.08209687493
